------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 238959
Write buffer size:  128 KByte
TCP window size:  544 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35158 connected with 10.0.2.22 port 5001 (ct=0.27 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 18.5400-18.7200 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/16754 us  691.42
[  3] 18.7200-18.9000 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/14450 us  826.71
[  3] 18.9000-19.0800 sec  1018 KBytes  46.3 Mbits/sec  8/0          0      558K/17332 us  334.18
[  3] 19.0800-19.2600 sec  1.86 MBytes  86.9 Mbits/sec  15/0          0      558K/17633 us  615.89
[  3] 19.2600-19.4400 sec  1.55 MBytes  72.4 Mbits/sec  13/0          4      278K/11350 us  797.36
[  3] 19.4400-19.6200 sec  1.74 MBytes  81.1 Mbits/sec  15/0         20      138K/6947 us  1459.05
[  3] 19.6200-19.8000 sec  1.80 MBytes  84.0 Mbits/sec  15/0          0      139K/8352 us  1256.94
[  3] 19.8000-19.9800 sec  1.68 MBytes  78.2 Mbits/sec  14/0          9       77K/7585 us  1288.60
[  3] 19.9800-20.1600 sec   700 KBytes  31.9 Mbits/sec  6/0          8       70K/7810 us  509.86
[  3] 20.1600-20.3400 sec  1.43 MBytes  66.6 Mbits/sec  12/0          0       80K/8386 us  992.85
[  3] 20.3400-20.5200 sec  1.62 MBytes  75.3 Mbits/sec  14/0          0       97K/7219 us  1303.78
[  3] 20.5200-20.7000 sec  1.43 MBytes  66.6 Mbits/sec  12/0          0      111K/10391 us  801.27
[  3] 20.7000-20.8800 sec   764 KBytes  34.8 Mbits/sec  6/0          5       76K/7698 us  564.30
[  3] 20.8800-21.0600 sec  1.49 MBytes  69.5 Mbits/sec  12/0          0       87K/7141 us  1216.64
[  3] 21.0600-21.2400 sec   573 KBytes  26.1 Mbits/sec  5/0          0       96K/8410 us  387.40
[  3] 21.2400-21.4200 sec  1.18 MBytes  55.0 Mbits/sec  10/0          0       98K/7630 us  901.44
[  3] 21.4200-21.6000 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      108K/9874 us  916.55
[  3] 21.6000-21.7800 sec   636 KBytes  29.0 Mbits/sec  5/0          8       65K/6991 us  517.81
[  3] 21.7800-21.9600 sec   509 KBytes  23.2 Mbits/sec  4/0          4       42K/4770 us  607.13
[  3] 21.9600-22.1400 sec  1.62 MBytes  75.3 Mbits/sec  14/0          0       60K/4890 us  1924.74
[  3] 22.1400-22.3200 sec  1.12 MBytes  52.1 Mbits/sec  10/0          0       87K/17333 us  375.93
[  3] 22.3200-22.5000 sec  1.55 MBytes  72.4 Mbits/sec  13/0          4       76K/6787 us  1333.43
[  3] 22.5000-22.6800 sec  1018 KBytes  46.3 Mbits/sec  8/0          0       93K/9282 us  624.00
[  3] 22.6800-22.8600 sec  1.49 MBytes  69.5 Mbits/sec  13/0          0       97K/6972 us  1246.13
[  3] 22.8600-23.0400 sec  1.12 MBytes  52.1 Mbits/sec  10/0          6       55K/14921 us  436.70
[  3] 23.0400-23.2200 sec   700 KBytes  31.9 Mbits/sec  6/0          0       77K/17344 us  229.59
[  3] 23.2200-23.4000 sec  1.30 MBytes  60.8 Mbits/sec  11/0          4       46K/7457 us  1019.44
[  3] 23.4000-23.5800 sec  1.24 MBytes  57.9 Mbits/sec  11/0          0       69K/12200 us  593.44
[  3] 23.5800-23.7600 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0       94K/5913 us  1897.85
[  3] 23.7600-23.9400 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      108K/5733 us  2083.73
[  3] 23.9400-24.1200 sec   700 KBytes  31.9 Mbits/sec  6/0          0      113K/5674 us  701.80
[  3] 24.1200-24.3000 sec  1.62 MBytes  75.3 Mbits/sec  13/0          0      113K/5258 us  1790.03
[  3] 24.3000-24.4800 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      114K/5570 us  2079.71
[  3] 24.4800-24.6600 sec  1.80 MBytes  84.0 Mbits/sec  15/0          0      115K/6549 us  1602.99
[  3] 24.6600-24.8400 sec  1.86 MBytes  86.9 Mbits/sec  15/0          0      123K/6282 us  1728.75
[  3] 24.8400-25.0200 sec  1.06 MBytes  49.2 Mbits/sec  9/0          5       67K/12698 us  484.64
[  3] 25.0200-25.2000 sec   891 KBytes  40.5 Mbits/sec  7/0          3       65K/4197 us  1207.53
[  3] 25.2000-25.3800 sec  1.43 MBytes  66.6 Mbits/sec  12/0          0       79K/7603 us  1095.09
[  3] 25.3800-25.5600 sec  1.62 MBytes  75.3 Mbits/sec  13/0          0       93K/10252 us  918.06
[  3] 25.5600-25.7400 sec   573 KBytes  26.1 Mbits/sec  5/0          0      101K/6719 us  484.89
[  3] 25.7400-25.9200 sec  1.74 MBytes  81.1 Mbits/sec  15/0          0      107K/5831 us  1738.30
[  3] 25.9200-26.1000 sec  1.74 MBytes  81.1 Mbits/sec  15/0          0      113K/7198 us  1408.17
[  3] 26.1000-26.2800 sec  1.49 MBytes  69.5 Mbits/sec  13/0          0      118K/11105 us  782.35
[  3] 26.2800-26.4600 sec  1.30 MBytes  60.8 Mbits/sec  11/0          7       79K/9136 us  832.09
[  3] 26.4600-26.6400 sec   318 KBytes  14.5 Mbits/sec  3/0          0       89K/7157 us  252.90
[  3] 26.6400-26.8200 sec  1.49 MBytes  69.5 Mbits/sec  12/0          0       94K/7834 us  1109.01
[  3] 26.8200-27.0000 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      107K/10621 us  852.09
[  3] 27.0000-27.1800 sec  1.49 MBytes  69.5 Mbits/sec  13/0          0      110K/8709 us  997.59
[  3] 27.1800-27.3600 sec   700 KBytes  31.9 Mbits/sec  6/0         10       67K/9996 us  398.36
[  3] 27.3600-27.5400 sec  1.49 MBytes  69.5 Mbits/sec  13/0          6       55K/5168 us  1681.11
[  3] 27.5400-27.7200 sec   891 KBytes  40.5 Mbits/sec  7/0          5       59K/11201 us  452.46
[  3] 27.7200-27.9000 sec  1.24 MBytes  57.9 Mbits/sec  11/0          0       52K/3308 us  2188.63
[  3] 27.9000-28.0800 sec  1.43 MBytes  66.6 Mbits/sec  12/0          0       79K/6921 us  1203.01
[  3] 28.0800-28.2600 sec  1.68 MBytes  78.2 Mbits/sec  14/0          0       90K/4846 us  2016.92
[  3] 28.2600-28.4400 sec  1.80 MBytes  84.0 Mbits/sec  15/0          0      104K/5121 us  2049.99
[  3] 28.4400-28.6200 sec  1.43 MBytes  66.6 Mbits/sec  12/0          0      111K/5743 us  1449.76
[  3] 28.6200-28.8000 sec   827 KBytes  37.6 Mbits/sec  7/0          0      111K/5642 us  834.10
[  3] 28.8000-28.9800 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      111K/6405 us  1412.96
[  3] 28.9800-29.1600 sec  1.37 MBytes  63.7 Mbits/sec  11/0          0      113K/6434 us  1237.80
[  3] 29.1600-29.3400 sec   891 KBytes  40.5 Mbits/sec  8/0          0      114K/15604 us  324.79
[  3] 29.3400-29.5200 sec  1.80 MBytes  84.0 Mbits/sec  15/0          0      114K/6188 us  1696.51
[  3] 29.5200-29.7000 sec  1.80 MBytes  84.0 Mbits/sec  15/0          0      117K/6008 us  1747.34
[  3] 29.7000-29.8800 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      125K/10552 us  857.66
[  3] 29.8800-30.0600 sec   891 KBytes  40.5 Mbits/sec  7/0          0      130K/10273 us  493.33
[  3] 30.0600-30.2400 sec  1.80 MBytes  84.0 Mbits/sec  15/0         11       69K/6225 us  1686.43
[  3] 30.2400-30.4200 sec  1.86 MBytes  86.9 Mbits/sec  15/0          0       97K/6249 us  1737.88
[  3] 30.4200-30.6000 sec  1.62 MBytes  75.3 Mbits/sec  14/0          0      108K/7171 us  1312.51
[  3] 30.6000-30.7800 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      113K/5464 us  1656.30
[  3] 30.7800-30.9600 sec  1.30 MBytes  60.8 Mbits/sec  11/0          0      113K/11199 us  678.81
[  3] 30.9600-31.1400 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      115K/8731 us  1036.54
[  3] 31.1400-31.3200 sec  1.74 MBytes  81.1 Mbits/sec  14/0          0      120K/6250 us  1621.76
[  3] 31.3200-31.5000 sec   891 KBytes  40.5 Mbits/sec  7/0          0      124K/7150 us  708.81
[  3] 31.5000-31.6800 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      127K/11191 us  808.69
[  3] 31.6800-31.8600 sec   764 KBytes  34.8 Mbits/sec  6/0          9       74K/8173 us  531.51
[  3] 31.8600-32.0400 sec  1.18 MBytes  55.0 Mbits/sec  10/0          0       87K/9897 us  694.96
[  3] 32.0400-32.2200 sec  1.18 MBytes  55.0 Mbits/sec  10/0          5       65K/5928 us  1160.26
[  3] 32.2200-32.4000 sec  1.18 MBytes  55.0 Mbits/sec  10/0          0       79K/13458 us  511.07
[  3] 32.4000-32.5800 sec   764 KBytes  34.8 Mbits/sec  7/0          0       89K/16064 us  270.42
[  3] 32.5800-32.7600 sec  1.30 MBytes  60.8 Mbits/sec  11/0          0      100K/9720 us  782.10
[  3] 32.7600-32.9400 sec   764 KBytes  34.8 Mbits/sec  6/0          8       60K/8870 us  489.74
[  3] 32.9400-33.1200 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0       72K/6839 us  1323.29
[  3] 33.1200-33.3000 sec   700 KBytes  31.9 Mbits/sec  6/0          0       97K/10214 us  389.86
[  3] 33.3000-33.4800 sec  1.49 MBytes  69.5 Mbits/sec  13/0          0      103K/10917 us  795.82
[  3] 33.4800-33.6600 sec  1.12 MBytes  52.1 Mbits/sec  10/0          0      113K/11690 us  557.40
[  3] 33.6600-33.8400 sec  1.62 MBytes  75.3 Mbits/sec  13/0          6       72K/5831 us  1614.13
[  3] 33.8400-34.0200 sec   891 KBytes  40.5 Mbits/sec  7/0          0       86K/4780 us  1060.25
[  3] 34.0200-34.2000 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0       96K/5309 us  2113.77
[  3] 34.2000-34.3800 sec  1.62 MBytes  75.3 Mbits/sec  14/0          0      113K/9866 us  953.98
[  3] 34.3800-34.5600 sec   954 KBytes  43.4 Mbits/sec  8/0          8       60K/10639 us  510.39
[  3] 34.5600-34.7400 sec  1.37 MBytes  63.7 Mbits/sec  11/0          2       49K/3883 us  2050.99
[  3] 34.7400-34.9200 sec  1.74 MBytes  81.1 Mbits/sec  15/0          0       82K/5717 us  1772.96
[  3] 34.9200-35.1000 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      103K/5498 us  2041.11
[  3] 35.1000-35.2800 sec   954 KBytes  43.4 Mbits/sec  8/0          0      111K/5870 us  925.04
[  3] 35.2800-35.4600 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      115K/9883 us  915.71
[  3] 35.4600-35.6400 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      121K/11341 us  797.99
[  3] 35.6400-35.8200 sec  1.80 MBytes  84.0 Mbits/sec  15/0          8       83K/7793 us  1347.11
[  3] 35.8200-36.0000 sec  1.74 MBytes  81.1 Mbits/sec  14/0          0      108K/7912 us  1281.09
[  3] 36.0000-36.1800 sec  1.74 MBytes  81.1 Mbits/sec  15/0          0      117K/8132 us  1246.43
[  3] 36.1800-36.3600 sec  1.49 MBytes  69.5 Mbits/sec  13/0          0      125K/8881 us  978.27
[  3] 36.3600-36.5400 sec  1.24 MBytes  57.9 Mbits/sec  11/0          0      127K/10024 us  722.27
[  3] 36.5400-36.7200 sec   509 KBytes  23.2 Mbits/sec  4/0          5       67K/7676 us  377.28
[  3] 36.7200-36.9000 sec  1.37 MBytes  63.7 Mbits/sec  11/0          0       74K/5929 us  1343.23
[  3] 36.9000-37.0800 sec   636 KBytes  29.0 Mbits/sec  5/0          6       46K/8452 us  428.30
[  3] 37.0800-37.2600 sec  1.30 MBytes  60.8 Mbits/sec  11/0          0       60K/6584 us  1154.62
[  3] 37.2600-37.4400 sec   764 KBytes  34.8 Mbits/sec  6/0          4       45K/11078 us  392.13
[  3] 37.4400-37.6200 sec   382 KBytes  17.4 Mbits/sec  3/0          0       53K/6090 us  356.65
[  3] 37.6200-37.8000 sec  1.37 MBytes  63.7 Mbits/sec  11/0          0       63K/7646 us  1041.59
[  3] 37.8000-37.9800 sec  1.68 MBytes  78.2 Mbits/sec  14/0          0       91K/7446 us  1312.65
[  3] 37.9800-38.1600 sec  1.43 MBytes  66.6 Mbits/sec  12/0          5       80K/11696 us  711.87
[  3] 38.1600-38.3400 sec  1.86 MBytes  86.9 Mbits/sec  15/0          2       79K/4274 us  2540.95
[  3] 38.3400-38.5200 sec  1.86 MBytes  86.9 Mbits/sec  16/0          0      101K/5344 us  2032.19
[  3] 38.5200-38.7000 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      111K/5676 us  1977.10
[  3] 38.7000-38.8800 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      113K/5794 us  1936.83
[  3] 38.8800-39.0600 sec   954 KBytes  43.4 Mbits/sec  8/0          0      113K/5600 us  969.64
[  3] 39.0600-39.2400 sec  1.86 MBytes  86.9 Mbits/sec  16/0          0      113K/5642 us  1924.85
[  3] 39.2400-39.4200 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      114K/5801 us  1934.49
[  3] 39.4200-39.6000 sec  1.86 MBytes  86.9 Mbits/sec  15/0          0      114K/5566 us  1951.13
[  3] 39.6000-39.7800 sec  1.86 MBytes  86.9 Mbits/sec  15/0          0      114K/5588 us  1943.45
[  3] 39.7800-39.9600 sec  1.12 MBytes  52.1 Mbits/sec  10/0          0      114K/9255 us  704.05
[  3] 39.9600-40.1400 sec   636 KBytes  29.0 Mbits/sec  5/0          0      117K/8425 us  429.67
[  3] 40.1400-40.3200 sec  1.49 MBytes  69.5 Mbits/sec  12/0          0      118K/7202 us  1206.33
[  3] 40.3200-40.5000 sec  1.30 MBytes  60.8 Mbits/sec  11/0          0      120K/10707 us  710.00
[  3] 40.5000-40.6800 sec   764 KBytes  34.8 Mbits/sec  7/0          0      120K/11136 us  390.09
[  3] 40.6800-40.8600 sec  1.18 MBytes  55.0 Mbits/sec  10/0          6       62K/6647 us  1034.75
