------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 176129
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35030 connected with 10.0.2.22 port 5001 (ct=41.04 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 22.8600-23.0400 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0       50K/41671 us  8.69
[  3] 23.0400-23.2200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       53K/44353 us  32.65
[  3] 23.2200-23.4000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       60K/49155 us  29.46
[  3] 23.4000-23.5800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       65K/53794 us  20.19
[  3] 23.5800-23.7600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       69K/57179 us  25.32
[  3] 23.7600-23.9400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       74K/61841 us  17.56
[  3] 23.9400-24.1200 sec   255 KBytes  11.6 Mbits/sec  3/0          1       39K/32247 us  44.90
[  3] 24.1200-24.3000 sec   127 KBytes  5.79 Mbits/sec  1/0          0       46K/37797 us  19.15
[  3] 24.3000-24.4800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       50K/41527 us  26.15
[  3] 24.4800-24.6600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       56K/46670 us  31.03
[  3] 24.6600-24.8400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       62K/51786 us  20.97
[  3] 24.8400-25.0200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       67K/55577 us  26.05
[  3] 25.0200-25.2000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       72K/59260 us  24.43
[  3] 25.2000-25.3800 sec  63.6 KBytes  2.90 Mbits/sec  1/0          2       36K/59765 us  6.06
[  3] 25.3800-25.5600 sec   255 KBytes  11.6 Mbits/sec  3/0          0       39K/32000 us  45.25
[  3] 25.5600-25.7400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       48K/38870 us  37.25
[  3] 25.7400-25.9200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       53K/43760 us  24.82
[  3] 25.9200-26.1000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       59K/49478 us  29.27
[  3] 26.1000-26.2800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       65K/53569 us  20.27
[  3] 26.2800-26.4600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       69K/56905 us  25.45
[  3] 26.4600-26.6400 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0       73K/61674 us  5.87
[  3] 26.6400-26.8200 sec   191 KBytes  8.69 Mbits/sec  2/0          2       42K/61745 us  17.59
[  3] 26.8200-27.0000 sec   318 KBytes  14.5 Mbits/sec  3/0          0       39K/32538 us  55.63
[  3] 27.0000-27.1800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       50K/41084 us  26.43
[  3] 27.1800-27.3600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       56K/45798 us  31.62
[  3] 27.3600-27.5400 sec   127 KBytes  5.79 Mbits/sec  1/0          0       62K/51218 us  14.14
[  3] 27.5400-27.7200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       65K/55489 us  26.10
[  3] 27.7200-27.9000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       69K/57017 us  19.05
[  3] 27.9000-28.0800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       73K/61537 us  17.65
[  3] 28.0800-28.2600 sec   255 KBytes  11.6 Mbits/sec  3/0          2       41K/32288 us  44.85
[  3] 28.2600-28.4400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       48K/39117 us  37.02
[  3] 28.4400-28.6200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       55K/44658 us  24.32
[  3] 28.6200-28.8000 sec   127 KBytes  5.79 Mbits/sec  1/0          0       59K/49275 us  14.69
[  3] 28.8000-28.9800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       62K/51441 us  21.11
[  3] 28.9800-29.1600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       67K/55795 us  25.95
[  3] 29.1600-29.3400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       72K/59467 us  18.26
[  3] 29.3400-29.5200 sec   255 KBytes  11.6 Mbits/sec  2/0          2       36K/44834 us  32.30
