1651141185.834924, 	 reno wscale:8,9 rto:316 rtt:114.352/5.362 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:105 ssthresh:194 bytes_sent:1935976 bytes_retrans:477840 bytes_acked:1033873 segs_out:1339 segs_in:432 data_segs_out:1337 send 10.6Mbps lastsnd:4 lastrcv:1124 lastack:4 pacing_rate 35.4Mbps delivery_rate 9.7Mbps delivered:903 busy:1120ms unacked:293 retrans:29/330 lost:29 sacked:188 rcv_space:14480 rcv_ssthresh:42242 notsent:2825048 minrtt:20.501
1651141185.869985, 	 reno wscale:8,9 rto:328 rtt:124.372/2.093 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:104 ssthresh:194 bytes_sent:1977968 bytes_retrans:482184 bytes_acked:1059937 segs_out:1368 segs_in:452 data_segs_out:1366 send 9.7Mbps lastsnd:4 lastrcv:1156 lastack:4 pacing_rate 33.5Mbps delivery_rate 9.6Mbps delivered:930 busy:1152ms unacked:301 retrans:27/333 lost:27 sacked:197 rcv_space:14480 rcv_ssthresh:42242 notsent:2787400 minrtt:20.501
1651141185.902210, 	 reno wscale:8,9 rto:324 rtt:121.994/0.979 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:98 ssthresh:194 bytes_sent:2014168 bytes_retrans:490872 bytes_acked:1059937 segs_out:1393 segs_in:474 data_segs_out:1391 send 9.3Mbps lastrcv:1184 pacing_rate 36.2Mbps delivery_rate 9.6Mbps delivered:955 busy:1180ms unacked:320 retrans:15/339 lost:15 sacked:222 rcv_space:14480 rcv_ssthresh:42242 notsent:2759888 minrtt:20.501
1651141185.930835, 	 reno wscale:8,9 rto:316 rtt:114.425/2.332 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:91 ssthresh:194 bytes_sent:2048920 bytes_retrans:501008 bytes_acked:1059937 segs_out:1417 segs_in:491 data_segs_out:1415 send 9.2Mbps lastrcv:1212 pacing_rate 68.0Mbps delivery_rate 9.2Mbps delivered:979 busy:1208ms unacked:337 retrans:16/346 lost:16 sacked:246 rcv_space:14480 rcv_ssthresh:42242 notsent:2735272 minrtt:20.501
1651141185.958565, 	 reno wscale:8,9 rto:308 rtt:107.257/2.671 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:89 ssthresh:194 bytes_sent:2085120 bytes_retrans:503904 bytes_acked:1059937 segs_out:1442 segs_in:505 data_segs_out:1440 send 9.6Mbps lastrcv:1244 pacing_rate 77.3Mbps delivery_rate 8.0Mbps delivered:1004 busy:1240ms unacked:360 retrans:18/348 lost:18 sacked:271 rcv_space:14480 rcv_ssthresh:42242 notsent:2701968 minrtt:20.501
1651141185.990268, 	 reno wscale:8,9 rto:308 rtt:107.804/0.346 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:90 ssthresh:97 bytes_sent:2119872 bytes_retrans:503904 bytes_acked:1246729 segs_out:1466 segs_in:527 data_segs_out:1464 send 9.7Mbps lastsnd:4 lastrcv:1272 lastack:4 pacing_rate 32.6Mbps delivery_rate 8.3Mbps delivered:1027 busy:1268ms unacked:255 retrans:15/348 lost:15 sacked:165 rcv_space:14480 rcv_ssthresh:42242 notsent:2862696 minrtt:20.501
1651141186.016272, 	 reno wscale:8,9 rto:308 rtt:106.549/0.432 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:93 ssthresh:97 bytes_sent:2158968 bytes_retrans:506800 bytes_acked:1264105 segs_out:1493 segs_in:545 data_segs_out:1491 send 10.1Mbps lastrcv:1296 pacing_rate 34.7Mbps delivery_rate 8.7Mbps delivered:1049 busy:1292ms unacked:268 retrans:11/350 lost:11 sacked:175 rcv_space:14480 rcv_ssthresh:42242 notsent:2826496 minrtt:20.501
1651141186.041985, 	 reno wscale:8,9 rto:308 rtt:104.08/0.8 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:89 ssthresh:97 bytes_sent:2189376 bytes_retrans:512592 bytes_acked:1264105 segs_out:1514 segs_in:563 data_segs_out:1512 send 9.9Mbps lastrcv:1324 pacing_rate 37.7Mbps delivery_rate 9.0Mbps delivered:1070 busy:1320ms unacked:285 retrans:6/354 lost:6 sacked:196 rcv_space:14480 rcv_ssthresh:42242 notsent:2801880 minrtt:20.501
1651141186.069159, 	 reno wscale:8,9 rto:300 rtt:99.232/1.166 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:87 ssthresh:97 bytes_sent:2219784 bytes_retrans:515488 bytes_acked:1264105 segs_out:1535 segs_in:577 data_segs_out:1533 send 10.2Mbps lastrcv:1348 pacing_rate 42.4Mbps delivery_rate 8.7Mbps delivered:1091 busy:1344ms unacked:304 retrans:8/356 lost:8 sacked:217 rcv_space:14480 rcv_ssthresh:42242 notsent:2774368 minrtt:20.501
1651141186.095404, 	 reno wscale:8,9 rto:300 rtt:99.399/0.313 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:87 ssthresh:97 bytes_sent:2251640 bytes_retrans:515488 bytes_acked:1264105 segs_out:1557 segs_in:597 data_segs_out:1555 send 10.1Mbps lastrcv:1376 pacing_rate 45.5Mbps delivery_rate 8.8Mbps delivered:1113 busy:1372ms unacked:326 retrans:8/356 lost:8 sacked:239 rcv_space:14480 rcv_ssthresh:42242 notsent:2807672 minrtt:20.501
